State_Name,City,Mean,Median
Alaska,Delta Junction,242857.00,300000.00
Alabama,Odenville,242857.00,300000.00
New Jersey,Short Hills,216503.00,300000.00
Connecticut,Greenwich,200012.00,228723.00
New Jersey,Ridgewood,199691.00,229111.00
Maryland,Chevy Chase,197892.00,300000.00
Pennsylvania,Narberth,194426.00,224616.00
Nevada,Zephyr Cove,193972.00,300000.00
Connecticut,Darien,192882.00,300000.00
Virginia,Chantilly,190865.00,300000.00
Illinois,Winnetka,190335.00,218355.00
Connecticut,New Canaan,186616.00,218066.00
Virginia,Mclean,186359.00,300000.00
Maryland,Ellicott City,185000.00,300000.00
Florida,Coral Gables,184790.00,300000.00
Florida,Bay Harbor Islands,183873.00,223921.00
California,Agoura Hills,182475.00,300000.00
California,Rancho Santa Margarita,181956.00,200345.00
Virginia,Ashburg,181788.00,196717.00
New York,Albertson,181057.00,194521.00
Kansas,Shawnee Mission,180602.00,212415.00
Illinois,Wilmette,180513.00,300000.00
Pennsylvania,Gladwyne,178869.00,300000.00
New York,Jericho,178731.00,203439.00
California,San Marino,178029.00,204164.00
Minnesota,Edina,177879.00,300000.00
California,Portola Valley,177665.00,209259.00
California,La Canada,176514.00,300000.00
New York,Rye,176084.00,197818.00
Massachusetts,Newton Centre,175121.00,300000.00
New Jersey,Upper Saddle River,174859.00,165643.00
Florida,Sebastian,173681.00,205235.00
California,Hillsborough,173210.00,202760.00
California,Moraga,171929.00,189167.00
Massachusetts,Wellesley,170658.00,300000.00
Washington,Woodinville,170631.00,198722.00
New York,Syosset,170420.00,187634.00
Massachusetts,West Newton,169670.00,300000.00
California,Costa Mesa,168957.00,300000.00
California,Stevenson Ranch,168396.00,300000.00
New Jersey,Little Silver,168139.00,167235.00
New Jersey,Lincroft,168103.00,300000.00
New Jersey,Red Bank,167649.00,300000.00
Colorado,Cherry Hills Village,167533.00,200736.00
New York,Eastchester,167238.00,196856.00
New York,Ossining,167126.00,300000.00
California,Cypress,166830.00,300000.00
New York,Bronxville,166618.00,188499.00
New Jersey,S Orange,166307.00,300000.00
New Jersey,Essex Fells,166235.00,158471.00
Massachusetts,Sudbury,165967.00,300000.00
New Jersey,Glen Rock,165661.00,300000.00
New Jersey,Califon,165370.00,174383.00
Illinois,Long Grove,165151.00,174223.00
California,Cupertino,165140.00,300000.00
California,Ross,164985.00,184260.00
New Jersey,N Caldwell,164915.00,201523.00
Missouri,Town And Country,164799.00,185267.00
California,Manhattan Beach,164396.00,206024.00
Illinois,South Barrington,164017.00,174192.00
North Dakota,Munich,162984.00,300000.00
New York,Yorktown Heights,162230.00,148397.00
California,Union City,162134.00,300000.00
New York,Pound Ridge,161993.00,300000.00
Virginia,Fairfax Station,161979.00,300000.00
New Jersey,Verona,161195.00,300000.00
Illinois,Hinsdale,160991.00,197092.00
New Jersey,Haworth,160653.00,300000.00
Wisconsin,North Lake,160423.00,183198.00
Minnesota,Minnetonka,160277.00,175898.00
New York,Rye Brook,160145.00,300000.00
New Jersey,Holmdel,159715.00,300000.00
Ohio,Solon,159697.00,300000.00
Nebraska,Boys Town,159305.00,300000.00
Illinois,Hoffman Estates,158831.00,300000.00
New York,Bellmore,158720.00,300000.00
Maryland,Gaithersburg,158685.00,300000.00
California,Tiburon,158404.00,300000.00
New York,Thornwood,158331.00,167462.00
Massachusetts,Marblehead,158281.00,161469.00
Illinois,Western Springs,158227.00,300000.00
Arizona,Paradise Valley,158195.00,174901.00
New Jersey,Monroe Township,157963.00,300000.00
Illinois,River Forest,157950.00,166684.00
Massachusetts,Southborough,157890.00,157833.00
New Jersey,Rumson,157851.00,158876.00
Washington,Mercer Island,157798.00,179176.00
Texas,Fulshear,157504.00,170399.00
California,Orinda,157463.00,162529.00
New Jersey,Pine Brook,157448.00,300000.00
California,Santa Monica,157088.00,156861.00
Florida,Southwest Ranches,156828.00,173899.00
New Jersey,Berkeley Hts,156657.00,165438.00
New York,Cold Spring Harbor,156563.00,300000.00
California,Coto De Caza,156168.00,300000.00
Illinois,Cary,155934.00,300000.00
Connecticut,Glastonbury,155547.00,300000.00
Alabama,Mountain Brook,155368.00,300000.00
Virginia,Herndon,154998.00,300000.00
California,San Clemente,154769.00,164449.00
New York,Mount Sinai,154709.00,141212.00
Maryland,Bethesda,154078.00,161223.00
New York,Old Westbury,153841.00,161859.00
Illinois,Lake Zurich,153790.00,157184.00
New Jersey,Kinnelon,153773.00,166006.00
Pennsylvania,Radnor,153628.00,160799.00
Kansas,Leawood,153459.00,160090.00
California,Corte Madera,153399.00,300000.00
Pennsylvania,Wexford,153323.00,154609.00
California,Whittier,153156.00,300000.00
California,Los Altos,153099.00,300000.00
New Jersey,Mountainside,153091.00,175655.00
Connecticut,Monroe,153039.00,179122.00
Kansas,Shawnee,152940.00,141073.00
New York,Bethpage,152736.00,300000.00
Colorado,Highlands Ranch,152515.00,147258.00
New Jersey,Manalapan,151841.00,141091.00
Pennsylvania,Chester Springs,151483.00,152794.00
Illinois,Flossmoor,151344.00,142242.00
California,Calabasas,151185.00,300000.00
Maryland,Burtonsville,151110.00,300000.00
Michigan,Rochester Hills,150764.00,143225.00
Illinois,Lincolnshire,150702.00,148103.00
Wisconsin,Waunakee,150693.00,300000.00
New York,Dix Hills,150299.00,166115.00
