Role,Gender,Age,Sleep Hours
Nueva Teacher,Female,77,8.5
Parent or Guardian of Nueva student,Male,43,7
Parent or Guardian of Nueva student,Female,52,7
Parent or Guardian of Nueva student,Male,54,7.5
Parent or Guardian of Nueva student,Male,49,6
Nueva Teacher,Female,36,7
Parent or Guardian of Nueva student,Female,52,7
Parent or Guardian of Nueva student,Male,51,6
Parent or Guardian of Nueva student,Male,44,6.5
Parent or Guardian of Nueva student,Female,46,6
Nueva Teacher,Male,37,8
Parent or Guardian of Nueva student,Female,50,7
Nueva alumni,Male,,6
Nueva Teacher,Female,39,8
Parent or Guardian of Nueva student,Male,47,8
Nueva Teacher,Female,25,8.5
Parent or Guardian of Nueva student,Male,55,7
Parent or Guardian of Nueva student,Male,57,7
Nueva Teacher,Female,36,6
Parent or Guardian of Nueva student,Female,43,7
Parent or Guardian of Nueva student,Male,54,6.7
Parent or Guardian of Nueva student,Female,53,8
Parent or Guardian of Nueva student,Male,49,8
Parent or Guardian of Nueva student,Female,51,8
Nueva Teacher,Male,67,7
Parent or Guardian of Nueva student,Male,51,7
Parent or Guardian of Nueva student,Female,55,7.6
Parent or Guardian of Nueva student,Male,57,7
Parent or Guardian of Nueva student,Female,42,8
Parent or Guardian of Nueva student,Female,50,7
Parent or Guardian of Nueva student,Male,,
Parent or Guardian of Nueva student,Female,53,6
Parent or Guardian of Nueva student,Male,45,6
Parent or Guardian of Nueva student,Female,44,8.5
Nueva Teacher,Male,35,9
Parent or Guardian of Nueva student,Male,51,5
Parent or Guardian of Nueva student,Male,55,7
Parent or Guardian of Nueva student,Male,47.5,6
Parent or Guardian of Nueva student,Female,46,7
Parent or Guardian of Nueva student,Female,44,8
Parent or Guardian of Nueva student,Female,46,8
Nueva Teacher,Male,,7
Nueva alumni,Something Else,18,7.5
Parent or Guardian of Nueva student,Female,50,7
Parent or Guardian of Nueva student,Male,51,8
Parent or Guardian of Nueva student,Male,64,8
Parent or Guardian of Nueva student,Female,45,7
Nueva Teacher,Male,34,7
Parent or Guardian of Nueva student,Female,49,7
Nueva Teacher,Female,53,8
Parent or Guardian of Nueva student,Female,42,7.5
Parent or Guardian of Nueva student,Male,48,7.5
Parent or Guardian of Nueva student,Female,50,6
Parent or Guardian of Nueva student,Female,47,7.5
Parent or Guardian of Nueva student,Male,56,7.5
Parent or Guardian of Nueva student,Male,42,7
Nueva Teacher,Female,,9
Nueva Teacher,Female,52,7
Parent or Guardian of Nueva student,Male,59,7
Nueva Teacher,Male,40,7
Parent or Guardian of Nueva student,Male,46,5.5
Grandparent,Female,70,7
Nueva Teacher,Female,,7
Parent or Guardian of Nueva student,Female,48,
Parent or Guardian of Nueva student,Male,47,7.5
Parent or Guardian of Nueva student,Male,51,6.5
Parent or Guardian of Nueva student,Male,54,7
Parent or Guardian of Nueva student,Male,45,6
Parent or Guardian of Nueva student,Female,44,7
Parent or Guardian of Nueva student,Female,,7
Parent or Guardian of Nueva student,Female,44,8
Parent or Guardian of Nueva student,Male,50,8.5
Nueva Teacher,Female,59,7
Parent or Guardian of Nueva student,Male,47,6
Nueva Employee (not a teacher),Female,45,8
Parent or Guardian of Nueva student,Male,46,7
Nueva Teacher,Female,40,7
Nueva Teacher,Male,,9
Parent or Guardian of Nueva student,Male,50,7
Parent or Guardian of Nueva student,Female,,5
Parent or Guardian of Nueva student,Male,60,7
Parent or Guardian of Nueva student,Male,49,8
Parent or Guardian of Nueva student,Male,49,7.5
Parent or Guardian of Nueva student,Male,55,7
Parent or Guardian of Nueva student,Male,52,8
Parent or Guardian of Nueva student,Female,48,9.5
Nueva Teacher,Male,32,7.5
Parent or Guardian of Nueva student,Female,46,7
Parent or Guardian of Nueva student,Female,51,8
Parent or Guardian of Nueva student,Female,50,7
Grandparent,Male,77,7
Nueva Teacher,Female,60,8
Nueva Teacher,Female,47,7
Parent or Guardian of Nueva student,Female,51,7.5
Nueva Teacher,Male,54,8
Nueva Teacher,Male,41,7
grandparent,Male,85,
Parent or Guardian of Nueva student,Female,47,7
Parent or Guardian of Nueva student,Male,44,5
Grandparent of Nueva student,Female,77,5.5
Parent or Guardian of Nueva student,Female,55,5.5
Parent or Guardian of Nueva student,Male,44,7
Nueva Teacher,Male,30,8
Parent or Guardian of Nueva student,Male,57,5.5
Parent or Guardian of Nueva student,Male,50,7
Principal,Female,53,6.5
Nueva Teacher,Male,43,7.5
Parent or Guardian of Nueva student,Female,45,6
Parent or Guardian of Nueva student,Male,46,7
Parent or Guardian of Nueva student,Male,44,7.5
Parent or Guardian of Nueva student,Female,51,8
Parent or Guardian of Nueva student,Male,50,6
Parent or Guardian of Nueva student,Female,,6.5
Parent or Guardian of Nueva student,Female,50,7.5
Parent or Guardian of Nueva student,Female,40,7
Tutor,Female,63,7.5
Parent or Guardian of Nueva student,Female,,8
Parent or Guardian of Nueva student,Female,48,8
Nueva Teacher,Male,39,8
Parent or Guardian of Nueva student,Female,47,8
Parent or Guardian of Nueva student,Female,41,5
Nueva Teacher,Female,,7
Parent or Guardian of Nueva student,Female,52,7
Parent or Guardian of Nueva student,Female,44,7
Nueva Teacher,Female,26,7.5
Nueva Teacher,Female,23,8.5
Parent or Guardian of Nueva student,Male,51,7.5
Parent or Guardian of Nueva student,Male,44,7
Parent or Guardian of Nueva student,Female,42,7
Parent or Guardian of Nueva student,Male,51,6.5
Parent or Guardian of Nueva student,Female,53,8
Nueva Teacher,Female,,7
Parent or Guardian of Nueva student,Male,60,8
Nueva Teacher,Female,33,9
Parent or Guardian of Nueva student,Female,53,8
Nueva Teacher,Male,29,7
Parent or Guardian of Nueva student,Male,45,
Parent or Guardian of Nueva student,Female,43,7
Parent or Guardian of Nueva student,Female,47,8
Nueva Teacher,Male,62,8
Parent or Guardian of Nueva student,Male,43,9
Parent or Guardian of Nueva student,Male,43,7
Parent or Guardian of Nueva student,Female,50,6.5
Parent or Guardian of Nueva student,Female,,7
Parent or Guardian of Nueva student,Female,50,6
Parent or Guardian of Nueva student,Female,52,8
Nueva Teacher,Male,54,8
Parent or Guardian of Nueva student,Female,,8
Parent or Guardian of Nueva student,Male,57,8
Parent or Guardian of Nueva student,Male,53,6.5
Nueva Teacher,Female,51,6
Nueva Employee (not a teacher),Female,56,7
Parent or Guardian of Nueva student,Female,44,8
Parent or Guardian of Nueva student,Male,48,8.5
Parent or Guardian of Nueva student,Male,50,12
Parent or Guardian of Nueva student,Female,51,9
Parent or Guardian of Nueva student,Female,48,7
