id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
"102,356.00",1.00,Alabama,AL,Autauga County,Abbeville,Autaugaville,Track,Track,"36,310.00",334.00,"89,705,915.00","139,084.00",31.56,-85.26,"40,518.00","25,216.00","39,126.00",862.00
"55,021,778.00",55.00,Wisconsin,WI,Adams County,Abbotsford,Adams city,Track,Track,"54,405.00",715.00,"105,161,803.00","384,243.00",44.98,-90.37,"58,254.00","44,919.00","48,933.00",291.25
"2,401,743.00",24.00,Maryland,MD,Harford County,Aberdeen,Aberdeen Proving Ground,CDP,place,"21,001.00",410.00,"28,839,976.00","2,077,533.00",39.45,-76.13,"96,480.00","80,370.00","64,102.00",259.75
"20,021,060.00",20.00,Kansas,KS,Allen County,Abilene,Gas city,Track,Track,"67,410.00",785.00,"38,161,394.00","710,284.00",38.90,-97.23,"41,650.00","28,990.00","33,786.00",250.33
"17,021,999.00",17.00,Illinois,IL,Adams County,Abingdon,Camp Point,Track,Track,"61,410.00",309.00,"294,835,921.00","639,530.00",40.82,-90.31,"81,497.00","71,859.00","53,414.00",329.28
"25,025,100.00",25.00,Massachusetts,MA,Barnstable County,Abington,Barnstable Town city,Track,Track,"2,351.00",781.00,"11,270,026.00","449,877.00",42.13,-70.98,"122,831.00","300,000.00","55,209.00",169.75
"3,401,555.00",34.00,New Jersey,NJ,Atlantic County,Absecon,Absecon city,City,place,"8,201.00",609.00,"14,162,656.00","4,528,732.00",39.42,-74.49,"78,832.00","63,055.00","55,458.00","1,733.46"
"2,402,937.00",24.00,Maryland,MD,Allegany County,Accokeek,Little Orleans,Track,Track,"20,607.00",301.00,"28,253,212.00","3,439,816.00",38.67,-77.04,"117,700.00","110,583.00","64,941.00",288.44
"51,011,461.00",51.00,Virginia,VA,Accomack County,Accomac,Wachapreague,Town,place,"23,301.00",757.00,"606,954.00",0.00,37.61,-75.69,"47,414.00","34,691.00","39,440.00",73.30
"360,219,394.00",36.00,New York,NY,Albany County,Accord,Albany city,Track,Track,"12,404.00",845.00,"141,079,817.00","1,836,994.00",41.87,-74.16,"86,425.00","54,763.00","76,014.00",257.29
"54,021,200.00",54.00,West Virginia,WV,Barbour County,Accoville,Philippi city,Track,Track,"25,606.00",304.00,"186,453,812.00","1,001,747.00",37.82,-81.85,"47,260.00","34,486.00","38,659.00",259.82
"2,802,835.00",28.00,Mississippi,MS,Adams County,Ackerman,Cloverdale,Track,Track,"39,735.00",662.00,"11,142,113.00","55,913.00",33.32,-89.16,"53,229.00","38,470.00","41,154.00",187.49
"5,301,779.00",53.00,Washington,WA,Whatcom County,Acme,Acme,CDP,place,"98,220.00",360.00,"15,906,993.00","10,108.00",48.72,-122.24,"17,499.00","300,000.00","1,826.00",44.00
"25,024,120.00",25.00,Massachusetts,MA,Barnstable County,Acton,Barnstable Town city,Track,Track,"1,720.00",978.00,"15,236,631.00","337,763.00",42.46,-71.43,"118,890.00","124,665.00","73,967.00",73.86
"13,023,063.00",13.00,Georgia,GA,Appling County,Acworth,Baxley city,Track,Track,"30,101.00",770.00,"27,923,705.00","2,825,778.00",34.03,-84.71,"99,238.00","300,000.00","52,431.00",255.58
"40,023,213.00",40.00,Oklahoma,OK,Adair County,Ada,Bell,Track,Track,"74,820.00",580.00,"4,242,852.00",0.00,34.78,-96.66,"44,053.00","29,654.00","47,771.00",177.49
"4,001,915.00",40.00,Oklahoma,OK,Mayes County,Adair,Adair,Town,place,"74,330.00",918.00,"12,912,545.00",0.00,36.44,-95.27,"50,439.00","42,113.00","38,083.00",213.42
"13,022,083.00",13.00,Georgia,GA,Appling County,Adairsville,Baxley city,Track,Track,"30,103.00",770.00,"176,266,228.00","285,407.00",34.34,-84.92,"53,935.00","55,242.00","37,762.00",442.17
"2,101,695.00",21.00,Kentucky,KY,Logan County,Adairville,Adairville city,City,place,"42,202.00",270.00,"3,044,163.00","4,945.00",36.68,-86.86,"41,098.00","32,184.00","34,451.00",307.52
"25,021,760.00",25.00,Massachusetts,MA,Barnstable County,Adams,Barnstable Town city,Track,Track,"1,220.00",413.00,"33,210,002.00","103,537.00",42.64,-73.11,"51,301.00","35,394.00","39,972.00",147.20
"1,022,756.00",1.00,Alabama,AL,Autauga County,Adamsville,Autaugaville,Track,Track,"35,005.00",205.00,"31,049,873.00","865,351.00",33.58,-86.97,"53,383.00","47,460.00","34,172.00",362.32
"17,027,749.00",17.00,Illinois,IL,Adams County,Addison,Camp Point,Track,Track,"60,101.00",630.00,"3,583,948.00","117,728.00",41.94,-87.99,"71,659.00","50,570.00","60,887.00",242.69
"13,023,523.00",13.00,Georgia,GA,Appling County,Adel,Baxley city,Track,Track,"31,620.00",229.00,"135,649,420.00","3,145,353.00",31.26,-83.44,"42,525.00","29,098.00","41,694.00",205.65
"60,223,819.00",6.00,California,CA,Alameda County,Adelanto,Alameda city,Track,Track,"92,301.00",760.00,"629,578,486.00","1,407,887.00",34.63,-117.52,"36,944.00","17,430.00","34,598.00",189.66
"24,024,247.00",24.00,Maryland,MD,Allegany County,Adelphi,Little Orleans,Track,Track,"20,783.00",301.00,"2,548,582.00",0.00,39.00,-76.97,"87,642.00","68,603.00","67,640.00",284.71
